ID	Review	Trending Topics length	Trending Topics
755136864017801216	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ	9	[{"score":9.909143053270432,"topic":"axe shot"},{"score":9.908152138965105,"topic":"train passengers"},{"score":9.90716132375121,"topic":"germany"},{"score":9.905179990558073,"topic":"afghan"},{"score":5.951201736821925,"topic":"ballistic missiles"},{"score":5.9500115559865785,"topic":"north korea"},{"score":5.11301205971838,"topic":"range"},{"score":4.935912341436299,"topic":"dengue cases"},{"score":4.9241218681116985,"topic":"police"}]
755136656882163712	RT @ChannelNewsAsia: Australian keeper Birighitti joins Swansea https://t.co/E0BQWNV4RZ	9	[{"score":9.90716132375121,"topic":"axe shot"},{"score":9.906170607618835,"topic":"train passengers"},{"score":9.905179990558073,"topic":"germany"},{"score":9.903199053611763,"topic":"afghan"},{"score":5.9500115559865785,"topic":"ballistic missiles"},{"score":5.948821613175497,"topic":"north korea"},{"score":5.111989508436557,"topic":"range"},{"score":4.934925208327135,"topic":"dengue cases"},{"score":4.923137092979295,"topic":"police"}]
755130505704669185	RT @ChannelNewsAsia: Football: Swansea sign Aussie goalkeeper Birighitti https://t.co/PSkWut4AS2	9	[{"score":9.906170607618835,"topic":"axe shot"},{"score":9.905179990558073,"topic":"train passengers"},{"score":9.904189472559018,"topic":"germany"},{"score":9.902208733706402,"topic":"afghan"},{"score":5.94941655483098,"topic":"ballistic missiles"},{"score":5.948226731014179,"topic":"north korea"},{"score":5.1114783094857135,"topic":"range"},{"score":4.934431715806302,"topic":"dengue cases"},{"score":4.922644779269997,"topic":"police"}]
755130504970731520	RT @ChannelNewsAsia: Big funds push back against activist investor settlements https://t.co/WtQLmPxqqx	9	[{"score":9.904189472559018,"topic":"axe shot"},{"score":9.903199053611763,"topic":"train passengers"},{"score":9.902208733706402,"topic":"germany"},{"score":9.900228390981749,"topic":"afghan"},{"score":5.948226731014179,"topic":"ballistic missiles"},{"score":5.947037145150244,"topic":"north korea"},{"score":5.1104560649385995,"topic":"range"},{"score":4.933444878807458,"topic":"dengue cases"},{"score":4.921660299540591,"topic":"police"}]
755130504127582208	RT @ChannelNewsAsia: Trump 'cannot become president': Clinton tells NAACP https://t.co/kO9fS9t9bu	9	[{"score":9.900228390981749,"topic":"axe shot"},{"score":9.899238368142651,"topic":"train passengers"},{"score":9.898248444305837,"topic":"germany"},{"score":9.896268893599462,"topic":"afghan"},{"score":5.945847797191585,"topic":"ballistic missiles"},{"score":5.944658687090625,"topic":"north korea"},{"score":5.108412189119547,"topic":"range"},{"score":4.931471796842895,"topic":"dengue cases"},{"score":4.919691930700707,"topic":"police"}]
755123883926097920	RT @ChannelNewsAsia: Exclusive: Monsanto in talks with Bayer over confidentiality pact - source https://t.co/KX7ewZ8J5p	9	[{"score":9.897258619461407,"topic":"axe shot"},{"score":9.896268893599462,"topic":"train passengers"},{"score":9.895279266710101,"topic":"germany"},{"score":9.893300309809554,"topic":"afghan"},{"score":5.9440642212219155,"topic":"ballistic missiles"},{"score":5.942875467818314,"topic":"north korea"},{"score":5.106879818710069,"topic":"range"},{"score":4.9299925032430645,"topic":"dengue cases"},{"score":4.9182161707073355,"topic":"police"}]
755121648622243840	RT @ChannelNewsAsia: Exclusive: Monsanto in talks with Bayer over confidentiality pact - source https://t.co/KX7ewZ8J5p	9	[{"score":9.894289738783431,"topic":"axe shot"},{"score":9.893300309809554,"topic":"train passengers"},{"score":9.892310979778573,"topic":"germany"},{"score":9.890332616505729,"topic":"afghan"},{"score":5.942281180271532,"topic":"ballistic missiles"},{"score":5.94109278345829,"topic":"north korea"},{"score":5.105347907965744,"topic":"range"},{"score":4.928513653386936,"topic":"dengue cases"},{"score":4.91674085339769,"topic":"police"}]
755121647129137152	RT @ChannelNewsAsia: US Republican convention to nominate Trump begins https://t.co/iVpjJ6HI5O	9	[{"score":9.892310979778573,"topic":"axe shot"},{"score":9.891321748680596,"topic":"train passengers"},{"score":9.890332616505729,"topic":"germany"},{"score":9.888354648885755,"topic":"afghan"},{"score":5.94109278345829,"topic":"ballistic missiles"},{"score":5.9399046243125255,"topic":"north korea"},{"score":5.10432688943763,"topic":"range"},{"score":4.927527999941396,"topic":"dengue cases"},{"score":4.915757554394419,"topic":"police"}]
755116446527660032	RT @SimonMarksFSN: Live from the arena at #RNCinCLE I'll have a full report on the action so far in Cleveland.  3:15 @ChannelNewsAsia	10	[{"score":9.887365813420868,"topic":"axe shot"},{"score":9.886377076839526,"topic":"train passengers"},{"score":9.885388439131843,"topic":"germany"},{"score":9.883411460297902,"topic":"afghan"},{"score":5.938122831116431,"topic":"ballistic missiles"},{"score":5.936935265931436,"topic":"north korea"},{"score":5.10177523637456,"topic":"range"},{"score":4.9820411245108795,"topic":"rncincle"},{"score":4.925064728644953,"topic":"dengue cases"},{"score":4.913300167143823,"topic":"police"}]
755115536426504192	RT @ChannelNewsAsia: South China Sea disputes could upset Southeast Asia's peace, prosperity: PM Lee https://t.co/CxOJYFxMZz https://t.co/0…	10	[{"score":9.883411460297902,"topic":"axe shot"},{"score":9.882423119151872,"topic":"train passengers"},{"score":9.881434876839956,"topic":"germany"},{"score":9.879458688678938,"topic":"afghan"},{"score":5.935747938247602,"topic":"ballistic missiles"},{"score":5.9345608480174326,"topic":"north korea"},{"score":5.099734832366118,"topic":"range"},{"score":4.980048606963615,"topic":"rncincle"},{"score":4.92309499823768,"topic":"dengue cases"},{"score":4.9113351418553215,"topic":"police"}]
